name,dept,salary
Jose,001,7000
Maria,002,8000
Tania,003,6500
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
Paulo,004,1000
